"2001:200::", "2001:200:ffff:ffff:ffff:ffff:ffff:ffff", "42540528726795050063891204319802818560", "42540528806023212578155541913346768895", "JP", "Japan"
"2001:208::", "2001:208:ffff:ffff:ffff:ffff:ffff:ffff", "42540529360620350178005905068154421248", "42540529439848512692270242661698371583", "SG", "Singapore"
"2001:218::", "2001:218:ffff:ffff:ffff:ffff:ffff:ffff", "42540530628270950406235306564857626624", "42540530707499112920499644158401576959", "JP", "Japan"
"2001:220::", "2001:220:ffff:ffff:ffff:ffff:ffff:ffff", "42540531262096250520350007313209229312", "42540531341324413034614344906753179647", "KR", "Korea, Republic of"
"2001:228::", "2001:228:1fff:ffff:ffff:ffff:ffff:ffff", "42540531895921550634464708061560832000", "42540531905825070948747750260753825791", "JP", "Japan"
"2001:230::", "2001:230:ffff:ffff:ffff:ffff:ffff:ffff", "42540532529746850748579408809912434688", "42540532608975013262843746403456385023", "KR", "Korea, Republic of"
"2001:238::", "2001:238:ffff:ffff:ffff:ffff:ffff:ffff", "42540533163572150862694109558264037376", "42540533242800313376958447151807987711", "TW", "Taiwan"
"2001:240::", "2001:240:ffff:ffff:ffff:ffff:ffff:ffff", "42540533797397450976808810306615640064", "42540533876625613491073147900159590399", "JP", "Japan"
"2001:250::", "2001:252:ffff:ffff:ffff:ffff:ffff:ffff", "42540535065048051205038211803318845440", "42540535302732538747831224583950696447", "CN", "China"
"2001:254::", "2001:254:ffff:ffff:ffff:ffff:ffff:ffff", "42540535381960701262095562177494646784", "42540535461188863776359899771038597119", "CN", "China"
"2001:256::", "2001:256:ffff:ffff:ffff:ffff:ffff:ffff", "42540535540417026290624237364582547456", "42540535619645188804888574958126497791", "CN", "China"
"2001:258::", "2001:258:ffff:ffff:ffff:ffff:ffff:ffff", "42540535698873351319152912551670448128", "42540535778101513833417250145214398463", "JP", "Japan"
"2001:260::", "2001:260:ffff:ffff:ffff:ffff:ffff:ffff", "42540536332698651433267613300022050816", "42540536411926813947531950893566001151", "JP", "Japan"
"2001:268::", "2001:268:ffff:ffff:ffff:ffff:ffff:ffff", "42540536966523951547382314048373653504", "42540537045752114061646651641917603839", "JP", "Japan"
"2001:270::", "2001:270:ffff:ffff:ffff:ffff:ffff:ffff", "42540537600349251661497014796725256192", "42540537679577414175761352390269206527", "KR", "Korea, Republic of"
"2001:278::", "2001:278:ffff:ffff:ffff:ffff:ffff:ffff", "42540538234174551775611715545076858880", "42540538313402714289876053138620809215", "JP", "Japan"
"2001:280::", "2001:280:ffff:ffff:ffff:ffff:ffff:ffff", "42540538867999851889726416293428461568", "42540538947228014403990753886972411903", "KR", "Korea, Republic of"
"2001:288::", "2001:288:ffff:ffff:ffff:ffff:ffff:ffff", "42540539501825152003841117041780064256", "42540539581053314518105454635324014591", "TW", "Taiwan"
"2001:290::", "2001:290:ffff:ffff:ffff:ffff:ffff:ffff", "42540540135650452117955817790131666944", "42540540214878614632220155383675617279", "KR", "Korea, Republic of"
"2001:298::", "2001:298:ffff:ffff:ffff:ffff:ffff:ffff", "42540540769475752232070518538483269632", "42540540848703914746334856132027219967", "JP", "Japan"
"2001:2a0::", "2001:2a0:ffff:ffff:ffff:ffff:ffff:ffff", "42540541403301052346185219286834872320", "42540541482529214860449556880378822655", "JP", "Japan"
"2001:2a8::", "2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff", "42540542037126352460299920035186475008", "42540542116354514974564257628730425343", "JP", "Japan"
